session,symbol,name,sector,sector_etf,data_status,data_issues,close,return_1d,price_z,sector_return_1d,excess_return_1d,stock_rel_volume_30d,option_volume,call_volume,put_volume,baseline_n,baseline_ok,baseline_median,option_volume_ratio,option_volume_z,option_volume_pctile,cp_ratio,cp_ratio_30d,cp_ratio_vs_30d,delta_oi_calls,delta_oi_puts,delta_oi_total,net_open_share_all,oi_volume_coverage,top_volume,top_delta_oi,top_open_share,oi_classification,oi_base_check,oi_consistency,short_dated_share,itm_call_share,expiring_today_share,days_to_earnings,next_earnings,days_to_ex_dividend,ex_dividend_date,structural_event,sector_elevated_share,market_elevated_share,is_elevated,is_candidate,exclusion_reason,boring_hints
2026-09-23,PM,Philip Morris International,Consumer Staples,XLP,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,190.84,0.01792193486788851,1.3480479594327002,0.006225612153685445,0.011696322714203067,1.5765062085468795,4774.0,3867.0,907.0,1,False,3970.0,1.2025188916876575,UNAVAILABLE,100.0,4.263506063947078,1.7266483516483517,2.46923819773546,2501.0,422.0,2923.0,0.6122748219522413,1.0,2950.0,2116.0,0.7172881355932204,überwiegend neu eröffnet,OK,,0.11627118644067796,0.648135593220339,0.0,28.0,2026-10-21,9.0,2026-10-02,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,
2026-09-23,QCOM,Qualcomm,Information Technology,XLK,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,197.24,-0.005194957634869879,-0.17261214452145418,0.002514704742245355,-0.007709662377115234,0.7751312981497684,66531.0,48447.0,18084.0,1,False,97480.0,0.6825092326631104,UNAVAILABLE,0.0,2.67899800928998,3.423068197286628,0.7826306269368363,141834.0,125196.0,267030.0,4.0136177120440095,1.0,23275.0,20619.0,0.8858861439312568,überwiegend neu eröffnet,OK,bei 4 Kontrakt(en) ist die OI-Veränderung größer als das Volumen: Datenbasis prüfen,0.6649194414607948,0.10577873254564985,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,66 % des Top-Volumens verfällt innerhalb von 7 Tagen
2026-09-23,RTX,RTX Corporation,Industrials,XLI,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,192.19,-0.01106306667904089,-1.2480182467131586,0.0007060264677787309,-0.01176909314681962,1.0399202741910296,16351.0,14237.0,2114.0,1,False,8527.0,1.9175559985927055,UNAVAILABLE,100.0,6.734626300851467,1.706984126984127,3.945336218650199,6009.0,507.0,6516.0,0.39850773652987587,1.0,11478.0,4641.0,0.40433873497124934,überwiegend neu eröffnet,OK,,0.7334901550792821,0.0,0.0,27.0,2026-10-20,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,73 % des Top-Volumens verfällt innerhalb von 7 Tagen
2026-09-23,SBUX,Starbucks,Consumer Discretionary,XLY,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,94.14,-0.008008445876280135,-0.6579920694001069,-0.014078248095829471,0.006069802219549336,1.2873991971819447,18528.0,12087.0,6441.0,1,False,14165.0,1.3080127073773384,UNAVAILABLE,100.0,1.8765719608756404,1.136500754147813,1.6511840876715986,5880.0,2396.0,8276.0,0.4466753022452504,1.0,10870.0,6602.0,0.6073597056117755,überwiegend neu eröffnet,OK,,0.13716651333946642,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,
2026-09-23,SCHW,Charles Schwab Corporation,Financials,XLF,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,99.5,-0.008470338685060308,-0.45771629184898144,-0.004744494984543213,-0.0037258437005170952,1.3786174253289374,18440.0,7413.0,11027.0,1,False,57992.0,0.3179748930887019,UNAVAILABLE,0.0,0.6722590006348055,0.5164478845248679,1.3016976558114548,3211.0,6383.0,9594.0,0.5202819956616052,1.0,9432.0,6376.0,0.6759966072943172,überwiegend neu eröffnet,OK,,0.06732400339270568,0.0,0.0,22.0,2026-10-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,
2026-09-23,SNDK,Sandisk,Information Technology,XLK,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,1816.57,-0.037344220368270675,-0.8008087484789476,0.002514704742245355,-0.03985892511051603,0.6267000461486313,140167.0,82033.0,58134.0,1,False,241552.0,0.5802767106047559,UNAVAILABLE,0.0,1.4111019369043933,1.8211111500414607,0.7748576669097146,12815.0,10755.0,23570.0,0.1681565561080711,1.0,35584.0,4653.0,0.13076101618705036,"gemischt, nicht eindeutig",OK,,1.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,100 % des Top-Volumens verfällt innerhalb von 7 Tagen
2026-09-23,SO,Southern Company,Utilities,XLU,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,83.47,-0.023285737254755245,-3.233901194779713,-0.022380714481729846,-0.000905022773025399,0.9486464127913892,3820.0,2409.0,1411.0,1,False,4707.0,0.8115572551519015,UNAVAILABLE,0.0,1.7072997873848335,10.536764705882353,0.16203263857943986,296.0,451.0,747.0,0.1955497382198953,1.0,2371.0,538.0,0.22690847743568116,"gemischt, nicht eindeutig",OK,,0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,
2026-09-23,T,AT&T,Communication Services,XLC,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,25.3,0.007968112170943398,0.5352839927599082,-0.019084988596132724,0.02705310076707612,1.2227705562151532,34478.0,15548.0,18930.0,1,False,30352.0,1.1359383236689509,UNAVAILABLE,100.0,0.8213417855256208,1.6907801418439716,0.4857768110701029,5918.0,1563.0,7481.0,0.216978943094147,1.0,19387.0,1339.0,0.06906690050033527,"gemischt, nicht eindeutig",OK,,0.6127817609738485,0.05390209934492186,0.0,28.0,2026-10-21,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,61 % des Top-Volumens verfällt innerhalb von 7 Tagen
2026-09-23,TMO,Thermo Fisher Scientific,Health Care,XLV,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,665.3,0.009927728060939556,0.6333231837131749,-0.001242479509515837,0.011170207570455393,1.1918518099081663,1165.0,855.0,310.0,1,False,982.0,1.1863543788187372,UNAVAILABLE,100.0,2.7580645161290325,1.4367245657568237,1.9196891191709848,576.0,206.0,782.0,0.671244635193133,1.0,851.0,526.0,0.618096357226792,überwiegend neu eröffnet,OK,,0.5934195064629847,0.3407755581668625,0.0,28.0,2026-10-21,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,
2026-09-23,TMUS,T-Mobile US,Communication Services,XLC,UNVOLLSTÄNDIG,Baseline erst 1 von 15 Handelstagen,165.66,0.002359749001374256,0.1127895992003316,-0.019084988596132724,0.02144473759750698,1.8362278554410496,17638.0,15283.0,2355.0,1,False,14684.0,1.201171342958322,UNAVAILABLE,100.0,6.489596602972399,4.114594218042494,1.5772142425407396,573.0,1883.0,2456.0,0.13924481233699965,1.0,12660.0,654.0,0.05165876777251185,"gemischt, nicht eindeutig",OK,,0.5429699842022117,0.7081358609794629,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,,
