Date,Open,High,Low,Close,Adj Close,Volume,Provisional
2025-09-24,703.7100219726562,703.7100219726562,688.9600219726562,694.7899780273438,687.0713500976562,1727800,False
2025-09-25,691.5900268554688,695.7899780273438,683.530029296875,692.6799926757812,684.98486328125,1548000,False
2025-09-26,692.6900024414062,700.0,690.219970703125,698.260009765625,690.5028686523438,1480500,False
2025-09-29,700.0499877929688,703.9600219726562,691.469970703125,694.6900024414062,686.9724731445312,1816500,False
2025-09-30,697.02001953125,702.1199951171875,680.1199951171875,682.9099731445312,675.3233642578125,2378600,False
2025-10-01,679.8400268554688,686.1900024414062,674.0800170898438,679.5,671.9512329101562,2151600,False
2025-10-02,676.77001953125,682.9500122070312,668.3599853515625,681.8599853515625,674.2849731445312,2289100,False
2025-10-03,677.0599975585938,688.3699951171875,677.0599975585938,679.9400024414062,672.3863525390625,1293900,False
2025-10-06,667.02001953125,676.1699829101562,658.3300170898438,670.0900268554688,662.6458129882812,2538400,False
2025-10-07,670.9199829101562,671.72998046875,654.3400268554688,657.989990234375,650.6802368164062,1597800,False
2025-10-08,659.5700073242188,664.0,655.22998046875,657.7999877929688,650.4923095703125,1699800,False
2025-10-09,655.0,658.0,643.1599731445312,644.9199829101562,638.9208984375,1698300,False
2025-10-10,645.4000244140625,653.1799926757812,641.22998046875,641.7899780273438,635.820068359375,3059300,False
2025-10-13,643.2000122070312,656.469970703125,642.6400146484375,655.6799926757812,649.5808715820312,1344900,False
2025-10-14,645.8200073242188,660.7100219726562,644.4500122070312,657.1599731445312,651.0470581054688,1243700,False
2025-10-15,657.0999755859375,657.4199829101562,647.760009765625,652.6900024414062,646.6187133789062,1693000,False
2025-10-16,659.2100219726562,659.4000244140625,642.739990234375,646.989990234375,640.9716796875,1248000,False
2025-10-17,647.5700073242188,662.27001953125,646.8400268554688,661.3900146484375,655.23779296875,1812900,False
2025-10-20,663.280029296875,668.8599853515625,658.489990234375,664.77001953125,658.5863037109375,1205800,False
2025-10-21,665.6699829101562,676.8800048828125,661.0,675.0399780273438,668.7608032226562,1201600,False
2025-10-22,674.2000122070312,682.469970703125,670.4299926757812,670.77001953125,664.5304565429688,1272000,False
2025-10-23,671.4600219726562,680.97998046875,669.5599975585938,677.719970703125,671.4158935546875,1474300,False
2025-10-24,684.260009765625,688.0,680.219970703125,683.0900268554688,676.7359619140625,1027700,False
2025-10-27,686.969970703125,689.1699829101562,677.2899780273438,683.3900146484375,677.0330810546875,1318200,False
2025-10-28,684.72998046875,688.9000244140625,678.25,678.9299926757812,672.6145629882812,1103300,False
2025-10-29,667.5800170898438,669.6199951171875,649.0999755859375,656.0399780273438,649.9375,1990900,False
2025-10-30,653.0800170898438,665.9299926757812,652.5,656.1799926757812,650.0762329101562,1435200,False
2025-10-31,656.0,671.8900146484375,653.7899780273438,667.5499877929688,661.3404541015625,1585500,False
2025-11-03,669.27001953125,677.1199951171875,660.5700073242188,676.1900024414062,669.9000854492188,1270500,False
2025-11-04,676.1900024414062,676.1900024414062,653.5399780273438,660.4199829101562,654.2767944335938,1542700,False
