Date,Open,High,Low,Close,Adj Close,Volume,Provisional
2025-09-26,408.1600036621094,411.4100036621094,405.8399963378906,410.0899963378906,398.79656982421875,2316600,False
2025-09-29,410.04998779296875,410.95001220703125,403.8500061035156,406.79998779296875,395.59716796875,3008400,False
2025-09-30,406.6300048828125,407.0,403.4800109863281,405.19000244140625,394.031494140625,3211600,False
2025-10-01,404.3900146484375,405.1300048828125,395.30999755859375,397.0199890136719,386.08648681640625,3787800,False
2025-10-02,395.5,397.3800048828125,393.7900085449219,395.010009765625,384.1318664550781,2964700,False
2025-10-03,394.1300048828125,397.32000732421875,392.6300048828125,395.05999755859375,384.1805114746094,2951300,False
2025-10-06,394.5,394.5,385.7200012207031,389.3299865722656,378.6082763671875,3653700,False
2025-10-07,389.45001220703125,389.75,385.510009765625,386.80999755859375,376.15771484375,2505700,False
2025-10-08,386.4599914550781,386.4599914550781,382.9800109863281,383.7900085449219,373.2208557128906,2517600,False
2025-10-09,382.8999938964844,384.3599853515625,377.4599914550781,377.69000244140625,367.288818359375,3321400,False
2025-10-10,380.260009765625,380.260009765625,374.7799987792969,375.75,365.4022521972656,2992400,False
2025-10-13,379.07000732421875,382.30999755859375,377.19000244140625,379.3699951171875,368.92254638671875,2925900,False
2025-10-14,378.8699951171875,388.8900146484375,378.010009765625,387.7200012207031,377.0426025390625,4399900,False
2025-10-15,389.2300109863281,394.3699951171875,386.7300109863281,388.29998779296875,377.60662841796875,3690100,False
2025-10-16,389.6600036621094,390.0,383.9700012207031,387.3900146484375,376.72174072265625,2783700,False
2025-10-17,388.5,393.1099853515625,387.20001220703125,391.8999938964844,381.1075134277344,2657700,False
2025-10-20,391.4100036621094,393.17999267578125,388.0899963378906,388.8900146484375,378.180419921875,2761100,False
2025-10-21,387.55999755859375,393.6300048828125,385.8599853515625,390.8999938964844,380.13507080078125,2306900,False
2025-10-22,391.25,393.04998779296875,388.1700134277344,388.9700012207031,378.2582092285156,2857000,False
2025-10-23,387.1300048828125,388.7200012207031,381.29998779296875,385.0299987792969,374.4267272949219,2767300,False
2025-10-24,389.70001220703125,389.70001220703125,385.6700134277344,386.67999267578125,376.03125,2426800,False
2025-10-27,387.70001220703125,389.2900085449219,382.8999938964844,385.2699890136719,374.66009521484375,3065800,False
2025-10-28,384.4200134277344,390.010009765625,382.8299865722656,385.75,375.1268615722656,2372800,False
2025-10-29,383.0,385.0,375.20001220703125,378.0400085449219,367.6292419433594,3852300,False
2025-10-30,377.7099914550781,384.70001220703125,376.1099853515625,379.54998779296875,369.0976257324219,2384300,False
2025-10-31,376.9599914550781,380.94000244140625,375.010009765625,379.5899963378906,369.1365051269531,2643500,False
2025-11-03,377.010009765625,378.4800109863281,373.67999267578125,378.3500061035156,367.9306640625,2897600,False
2025-11-04,377.3500061035156,383.67999267578125,376.75,383.0799865722656,372.5303649902344,2590000,False
2025-11-05,382.7900085449219,383.4200134277344,370.5299987792969,373.8399963378906,363.54486083984375,4763000,False
2025-11-06,371.82000732421875,372.6600036621094,367.54998779296875,369.07000732421875,358.9062194824219,3622100,False
2025-11-07,368.989990234375,373.6499938964844,367.57000732421875,371.1099853515625,360.8900146484375,2766400,False
2025-11-10,369.7900085449219,370.6600036621094,363.45001220703125,370.42999267578125,360.228759765625,3257900,False
2025-11-11,371.989990234375,376.0,370.9100036621094,374.239990234375,363.9338684082031,2407300,False
2025-11-12,372.05999755859375,373.55999755859375,369.010009765625,371.1300048828125,360.90948486328125,3375800,False
2025-11-13,371.6600036621094,373.5199890136719,366.6199951171875,368.07000732421875,357.93377685546875,3034800,False
