Date,Open,High,Low,Close,Adj Close,Volume,Provisional
2025-09-24,236.6699981689453,240.07000732421875,235.75,239.0800018310547,234.25286865234375,6855400,False
2025-09-25,238.49000549316406,242.0,229.39999389648438,232.55999755859375,227.864501953125,10401100,False
2025-09-26,232.60000610351562,241.3000030517578,231.0500030517578,238.97000122070312,234.14508056640625,8163200,False
2025-09-29,240.5,249.1300048828125,237.25,247.0,242.01295471191406,7837500,False
2025-09-30,246.58999633789062,252.10000610351562,245.3800048828125,246.60000610351562,241.62103271484375,8966400,False
2025-10-01,245.25999450683594,248.99000549316406,239.7100067138672,243.7100067138672,238.7893829345703,6545100,False
2025-10-02,244.91000366210938,248.17999267578125,243.25,244.33999633789062,239.4066619873047,4323200,False
2025-10-03,244.8800048828125,246.4600067138672,242.66000366210938,245.32000732421875,240.36688232421875,3384000,False
2025-10-06,246.0,248.41000366210938,242.0500030517578,248.1699981689453,243.15933227539062,3400900,False
2025-10-07,249.1300048828125,252.8300018310547,248.2100067138672,251.22999572753906,246.1575469970703,5930400,False
2025-10-08,251.7100067138672,253.6699981689453,247.64999389648438,252.97999572753906,247.87220764160156,5672000,False
2025-10-09,253.50999450683594,254.1699981689453,249.61000061035156,252.0399932861328,246.95118713378906,4427400,False
2025-10-10,251.64999389648438,252.9499969482422,240.7100067138672,240.94000244140625,236.07530212402344,4548800,False
2025-10-13,242.22999572753906,243.9600067138672,239.8699951171875,243.55999755859375,238.6424102783203,3572500,False
2025-10-14,242.05999755859375,246.07000732421875,239.5500030517578,244.1999969482422,239.2694854736328,3788600,False
2025-10-15,243.91000366210938,247.30999755859375,239.05999755859375,239.7100067138672,234.87014770507812,4118100,False
2025-10-16,239.80999755859375,240.08999633789062,233.75,234.02000427246094,229.29502868652344,4800800,False
2025-10-17,234.35000610351562,239.1199951171875,233.60000610351562,238.38999938964844,233.57679748535156,4436100,False
2025-10-20,240.10000610351562,244.19000244140625,239.74000549316406,242.17999267578125,237.29026794433594,3495200,False
2025-10-21,242.52000427246094,252.08999633789062,242.52000427246094,250.50999450683594,245.45208740234375,4475500,False
2025-10-22,248.61000061035156,251.0500030517578,247.1699981689453,249.13999938964844,244.10975646972656,3899900,False
2025-10-23,246.05999755859375,250.08999633789062,245.44000244140625,249.80999755859375,244.76622009277344,2885700,False
2025-10-24,250.00999450683594,251.08999633789062,247.11000061035156,247.64999389648438,242.6498260498047,2793900,False
2025-10-27,249.44000244140625,252.25,247.19000244140625,250.77000427246094,245.7068328857422,3033200,False
2025-10-28,250.0,254.67999267578125,249.19000244140625,253.35000610351562,248.2347412109375,3425100,False
2025-10-29,253.14999389648438,255.44000244140625,247.5,247.75,242.74781799316406,5780700,False
2025-10-30,245.80999755859375,251.8800048828125,245.47999572753906,249.25,244.217529296875,3982200,False
2025-10-31,249.66000366210938,250.8800048828125,248.05999755859375,250.10000610351562,245.0503692626953,3847800,False
2025-11-03,249.52999877929688,249.52999877929688,242.94000244140625,248.44000244140625,243.4238739013672,4196300,False
2025-11-04,246.97000122070312,248.57000732421875,241.07000732421875,242.89999389648438,237.9957275390625,3688300,False
2025-11-05,243.3800048828125,248.99000549316406,242.75999450683594,247.82000732421875,242.81640625,3631800,False
2025-11-06,247.72999572753906,248.6699981689453,240.17999267578125,241.33999633789062,236.46722412109375,3512400,False
2025-11-07,240.0,246.5500030517578,239.44000244140625,245.75999450683594,240.79798889160156,4047400,False
2025-11-10,247.33999633789062,248.25999450683594,240.39999389648438,244.5500030517578,239.6124267578125,2818600,False
2025-11-11,244.88999938964844,244.88999938964844,238.52999877929688,242.55999755859375,237.66259765625,3766700,False
2025-11-12,244.0,246.97000122070312,242.30999755859375,246.52999877929688,241.5524444580078,3230700,False
2025-11-13,245.42999267578125,248.5800018310547,244.32000732421875,247.57000732421875,242.5714569091797,3703500,False
2025-11-14,245.77000427246094,249.14999389648438,244.08999633789062,245.2100067138672,240.25909423828125,2845000,False
2025-11-17,243.92999267578125,244.97999572753906,240.58999633789062,241.3300018310547,236.4574432373047,3187800,False
2025-11-18,241.05999755859375,241.75,237.42999267578125,240.0,235.154296875,3375300,False
2025-11-19,240.0,244.3800048828125,240.0,241.0800018310547,236.2124786376953,2554600,False
2025-11-20,242.7899932861328,244.75,239.5399932861328,240.7899932861328,235.92832946777344,2905500,False
